,All adults aged 18–64,All men aged 18–64,All women aged 18–64,All working 1 men aged 18–64,All working women aged 18–64,All nonworking men aged 18–64,All nonworking women aged 18–64
All states (average),22.9 (0.20),27.2 (0.27),18.7 (0.23),28.8 (0.31),20.9 (0.28),21.3 (0.45),14.6 (0.31)
Alabama . . . . . . . . . . . . . . . . . . .,19.3 (1.41),24.6 (2.05),14.9 (1.51),25.6 (2.44),15.2 (1.95),23.0 (3.37),13.3 (2.04)
Alaska . . . . . . . . . . . . . . . . . . . . .,27.9 (2.04),33.2 (2.70),23.3 (2.40),31.6 (2.93),24.4 (2.68),33.4 (5.59),17.8 (4.11)
Arizona . . . . . . . . . . . . . . . . . . . .,26.3 (1.48),29.2 (1.91),23.0 (1.77),31.3 (2.23),26.7 (2.28),22.4 (3.18),16.9 (2.37)
Arkansas . . . . . . . . . . . . . . . . . . .,15.7 (1.32),19.7 (1.84),11.9 (1.45),21.4 (2.23),13.1 (1.82),14.7 (2.79),9.6 (2.05)
California. . . . . . . . . . . . . . . . . . .,24.0 (0.53),28.5 (0.75),19.3 (0.58),29.9 (0.84),21.5 (0.72),24.5 (1.34),15.5 (0.78)
Colorado . . . . . . . . . . . . . . . . . . .,32.5 (1.49),33.4 (1.87),31.5 (1.85),34.8 (2.07),33.6 (2.19),26.9 (3.69),27.1 (2.94)
Connecticut . . . . . . . . . . . . . . . . .,24.5 (1.62),28.0 (2.20),21.2 (1.86),29.0 (2.52),24.8 (2.31),22.6 (3.79),13.6 (2.54)
Delaware . . . . . . . . . . . . . . . . . . .,20.1 (1.81),24.5 (2.44),15.8 (2.04),23.6 (2.65),17.3 (2.39),25.4 (5.20),11.4 (3.21)
District of Columbia. . . . . . . . . . .,30.7 (1.74),40.3 (2.45),22.2 (1.88),40.5 (2.72),24.0 (2.20),43.0 (4.95),18.5 (3.08)
Florida. . . . . . . . . . . . . . . . . . . . .,21.1 (0.93),27.2 (1.14),15.5 (1.04),27.7 (1.31),17.3 (1.24),25.2 (2.07),12.2 (1.25)
Georgia . . . . . . . . . . . . . . . . . . . .,20.2 (1.18),27.1 (1.72),14.2 (1.11),29.9 (2.05),15.2 (1.38),21.1 (2.48),12.8 (1.52)
Hawaii . . . . . . . . . . . . . . . . . . . . .,24.4 (1.93),31.2 (2.64),18.3 (2.14),32.8 (3.01),19.7 (2.53),25.6 (4.77),14.6 (3.36)
Idaho . . . . . . . . . . . . . . . . . . . . . .,31.4 (1.92),35.2 (2.46),27.4 (2.32),36.5 (2.76),27.0 (2.73),34.8 (4.88),28.5 (3.77)
Illinois . . . . . . . . . . . . . . . . . . . . .,24.8 (0.81),28.5 (1.11),20.9 (1.00),29.9 (1.24),24.0 (1.06),21.7 (1.91),15.0 (1.90)
Indiana . . . . . . . . . . . . . . . . . . . .,15.1 (1.16),20.0 (1.64),10.1 (1.21),21.8 (1.92),12.5 (1.55),11.7 (2.44),5.1 (1.47)
Iowa . . . . . . . . . . . . . . . . . . . . . .,22.2 (1.41),24.2 (1.76),19.9 (1.76),23.6 (1.90),20.9 (1.98),23.7 (3.79),16.4 (3.11)
Kansas . . . . . . . . . . . . . . . . . . . .,23.2 (1.48),24.7 (1.90),21.7 (1.79),26.2 (2.10),23.8 (2.15),16.1 (3.61),16.3 (2.67)
Kentucky . . . . . . . . . . . . . . . . . . .,14.6 (1.18),17.9 (1.66),11.4 (1.29),21.7 (2.21),14.6 (1.80),9.3 (1.89),5.9 (1.40)
Louisiana. . . . . . . . . . . . . . . . . . .,20.3 (1.41),23.5 (1.95),17.8 (1.61),25.5 (2.38),20.0 (2.06),15.5 (2.75),14.0 (2.22)
Maine . . . . . . . . . . . . . . . . . . . . .,24.0 (1.72),27.3 (2.32),20.6 (1.99),32.4 (2.71),23.3 (2.36),*7.0 (2.63),11.9 (2.81)
Maryland . . . . . . . . . . . . . . . . . . .,22.9 (1.43),29.4 (1.99),16.2 (1.54),29.8 (2.20),18.3 (1.84),26.6 (3.94),11.3 (2.30)
Massachusetts . . . . . . . . . . . . . .,29.5 (1.56),32.9 (2.06),26.1 (1.84),34.1 (2.38),28.8 (2.20),25.1 (3.46),18.6 (2.74)
Michigan . . . . . . . . . . . . . . . . . . .,23.6 (0.94),28.2 (1.36),18.7 (1.18),30.5 (1.63),21.9 (1.54),21.7 (2.27),13.0 (1.56)
Minnesota . . . . . . . . . . . . . . . . . .,27.7 (1.40),31.1 (1.81),24.3 (1.68),30.5 (1.95),26.8 (1.89),32.8 (4.16),15.0 (2.75)
Mississippi. . . . . . . . . . . . . . . . . .,13.5 (1.25),17.9 (1.86),9.7 (1.30),19.8 (2.25),10.5 (1.68),13.0 (2.79),8.9 (1.84)
Missouri. . . . . . . . . . . . . . . . . . . .,23.6 (1.41),29.9 (1.96),17.9 (1.57),31.9 (2.30),18.2 (1.85),20.2 (3.01),17.5 (2.52)
Montana . . . . . . . . . . . . . . . . . . .,20.2 (1.98),20.3 (2.47),20.3 (2.48),24.5 (3.16),25.1 (3.18),10.5 (3.07),*9.5 (2.86)
Nebraska. . . . . . . . . . . . . . . . . . .,23.9 (1.67),26.8 (2.22),21.5 (1.97),25.3 (2.43),22.3 (2.19),33.1 (4.70),18.0 (3.60)
Nevada . . . . . . . . . . . . . . . . . . . .,23.6 (1.55),25.7 (2.02),21.6 (1.85),25.4 (2.32),22.4 (2.26),22.4 (3.40),19.7 (2.77)
New Hampshire. . . . . . . . . . . . . .,30.7 (1.92),30.3 (2.38),31.0 (2.43),30.7 (2.61),32.1 (2.73),29.6 (5.01),28.7 (4.36)
New Jersey . . . . . . . . . . . . . . . . .,21.0 (1.19),25.7 (1.62),16.2 (1.33),27.0 (1.86),16.9 (1.59),17.4 (2.60),13.9 (2.02)
New Mexico. . . . . . . . . . . . . . . . .,23.0 (1.71),27.4 (2.37),18.6 (1.90),29.4 (2.86),21.6 (2.52),19.4 (3.50),14.4 (2.51)
New York . . . . . . . . . . . . . . . . . . .,18.9 (0.83),22.8 (1.15),15.3 (0.93),25.3 (1.31),17.6 (1.23),15.9 (1.78),11.3 (1.04)
North Carolina. . . . . . . . . . . . . . .,22.4 (0.85),26.1 (1.44),19.0 (0.92),27.8 (1.81),19.8 (1.28),19.5 (2.40),17.4 (1.79)
North Dakota. . . . . . . . . . . . . . . .,20.2 (1.87),21.7 (2.28),18.2 (2.36),22.1 (2.44),20.3 (2.61),*15.8 (5.05),*8.8 (3.81)
Ohio . . . . . . . . . . . . . . . . . . . . . .,23.9 (1.02),29.5 (1.34),18.7 (1.06),31.0 (1.55),21.4 (1.29),24.0 (2.44),13.2 (1.64)
Oklahoma . . . . . . . . . . . . . . . . . .,19.0 (1.41),24.0 (1.96),14.6 (1.55),24.1 (2.26),14.8 (1.89),21.4 (3.34),14.0 (2.36)
Oregon . . . . . . . . . . . . . . . . . . . .,25.8 (1.58),28.6 (2.02),22.7 (1.92),30.9 (2.42),26.6 (2.41),21.6 (3.13),15.9 (2.66)
Pennsylvania . . . . . . . . . . . . . . . .,25.6 (1.25),29.3 (1.81),21.8 (1.17),31.6 (2.13),23.4 (1.37),19.3 (2.40),18.3 (2.09)
Rhode Island. . . . . . . . . . . . . . . .,25.4 (1.99),30.1 (2.75),21.6 (2.27),32.0 (3.28),26.4 (2.87),22.9 (4.29),12.9 (2.97)
South Carolina . . . . . . . . . . . . . .,14.8 (1.26),20.1 (1.83),10.0 (1.29),21.9 (2.18),12.0 (1.76),12.4 (2.65),6.9 (1.60)
South Dakota . . . . . . . . . . . . . . .,17.2 (1.69),17.7 (2.09),15.9 (2.09),17.5 (2.26),16.9 (2.37),28.9 (5.52),*9.8 (3.21)
Tennessee. . . . . . . . . . . . . . . . . .,17.1 (1.30),20.1 (1.79),14.1 (1.45),22.8 (2.14),15.0 (1.80),10.7 (2.53),12.8 (2.16)
Texas. . . . . . . . . . . . . . . . . . . . . .,23.5 (0.70),28.1 (0.74),19.0 (1.02),28.7 (0.83),21.4 (1.38),25.0 (1.63),14.6 (1.13)
Utah . . . . . . . . . . . . . . . . . . . . . .,28.2 (1.60),29.2 (2.01),27.1 (2.00),30.7 (2.23),26.5 (2.30),22.6 (3.97),27.4 (3.37)
Vermont. . . . . . . . . . . . . . . . . . . .,29.5 (2.49),35.9 (3.30),23.4 (2.87),40.2 (3.69),26.8 (3.35),21.4 (5.95),15.2 (4.48)
Virginia . . . . . . . . . . . . . . . . . . . .,24.2 (1.28),29.3 (1.75),19.5 (1.44),32.8 (2.02),20.5 (1.67),16.6 (2.76),16.8 (2.37)
Washington . . . . . . . . . . . . . . . . .,28.9 (1.34),31.2 (1.70),26.2 (1.64),33.0 (1.96),29.7 (2.04),25.9 (2.99),20.2 (2.35)
West Virginia . . . . . . . . . . . . . . . .,16.8 (1.43),19.8 (1.93),14.0 (1.65),21.5 (2.54),18.7 (2.40),14.4 (2.45),8.4 (1.85)
Wisconsin . . . . . . . . . . . . . . . . . .,23.6 (1.44),26.3 (1.89),21.0 (1.71),27.6 (2.11),23.3 (1.97),21.6 (3.68),14.4 (2.77)
Wyoming . . . . . . . . . . . . . . . . . . .,27.5 (1.99),29.6 (2.43),24.8 (2.53),31.2 (2.66),29.9 (3.05),17.1 (4.58),13.8 (3.51)